id,review
2437,"Fun lecturer, tho what he teaches is by far the easiest part of the course. I dout that he could spice up the dreadful reaction mechanism part of the course the way that Winnik did."
3470,She is a very kind professor. Her lecture is extremely clear and she is more than happy to help you if you ask for it. Highly recommended!!
3867,"Professor Bauman is one of the most inspirational and passionate professor you will ever be lucky enough to take a class from. Her lectures are poetic, mesmerizing, and interesting. She is so erudite in art history(As Professor Gregg says, it's two words art and history and you have to know both) and she will make you want to take more! "
1784,the class is multiple choice but he just wants to teach it and get out
594,"Mr. Everett is a wonderful instructor. He has a passion for teaching and English, which makes his classes fun. There are a lot of essays but no more than expected. The class is ""hard"" if one is not particularly skilled in writing, but Mr. Everett grades VERY fairly. If he knows you put your all into it, he will overlook small mistakes."
889,"Please retire...you waste our time. Unclear, inconsiderate, unprepared, and lazy"
1850,"She would sometimes lose her train of thought in the middle of a lecture, but the class overall was good with lots of demonstrations. It's also VERY easy, but skipping class isn't a good idea because the in class papers can give you a lot of freebie points!"
2936,"He's  passionate about sociology & stats.  The Think Twice book is great.  The workload is crazy!  The test don't reflect the learning (he's a stats freak).  He thinks he's politically correct but he often makes inappropriate & assumptive comments, but shockingly he admits when he's wrong.  Breezes through his slides.  Tough course but interesting."
1672,People are so bad at math. Thurlow is a decent teacher and so funny
429,Alan  Molumby is a doll! hot hot hot
3178,"Read, practice, do the homework because that will help your grade if you get a low exam score, and practice. Helpful if you ask. Final is multiple choice only. Good luck."
252,"Unorganized. Id rather read and understand the book than be tested on powerpoint slides that force you to memorize for the tests instead of understand the material. he literally said he expects us to know every word. Enjoyed lecture but as far as studying, it was more independent based and for me I prefer more structure. ull do fine if u study hard"
3075,"It is hard to teach to a huge class. Even with that in mind, he is pretty boring, and at times confusing."
2990,He is very good!!!
3279,"useless, worst prof ever. very rude, dint know what she is talking about, never take her. take my word"
3813,No Comments
2413,"Interesting lecturer.  Tests are ridiculously hard.  Sexy if you fancy the undernourished, Hugh-Grant-stuttery, very rehearsed type of guy.  He appeared friendly and approachable, though I didn't go near him as my every waking moment was spent reviewing the text and praying.  Did I mention his tests were hard&#63;"
2598,"I liked her in mgt120. You expect profs to be very helpful during your higher years, but she wasn't. She played favoritism in/outside classroom. She's lazy, the course was designed so that she didn't have to teach(you'll see). Lack of course organization really affected your performance in exam (cus' you don't know what to study!)"
2915,"He wrote both of the textbooks used in the class (each chalk full of spelling and grammar mistakes).  Disorganized lecturer, but the tests were super easy."
290,"As a 5th year senior looking back, I found his classroom model to be inappropriate and unprofessional. He fails to properly prepare people for future coursework: He poorly taught research work ethic and skills (critical); lack of directing focus to lecture material.. Also, office hours are purposely set to make it hard for you to get to them. Yeah."
903,"She is what other professors should look towards as a role model on how to run a class: respectful of her students, very informative, but does NOT allow other students to gain the upper hand during lectures. I am honestly looking forward to more classes with this professor."
4302,"Do NOT take this man's class. Do not do it. He lectures mostly about race and suicide. Every chapter comes back to that, even if not mentioned by text. About 10 quizzesexams throughout course. His lectures are terrible but you never have to go to class. Read the book and do the study guides but There is more stuff on the quizzes than on he says. "
2098,AMAZING PROF!!!
4236,"My experience with the teacher is that she likes to look pretty, but her exams are not that pretty.  I got a sense of laziness in teaching style and relying too much on slides and videos. Also too focused on people cheating and not on how to move forward in the class and pass it. I got a feeling of not trusting students, like everyone is out to che"
3396,Her tests are pretty straight forward and imho very easy. If you can't get an 'A' in this class don' t even bother to become an accountant. She is not the best of teachers but the material itself is a lil dull anyway.
2283,drop this course b/c of him...wasted of money and time
1130,"I'm not too fond of BIO so for me to take this class as a GenEd was a huge mistake. First off, Phillis is a good professor but I just hated the way he taught the class. And you have to come to class each day because of PRS and there are weekly quizzes...His tests are multiple true/false questions. Hated it though!!"
432,"Study hard for the tests, tough class, lab sucks, but the teach and TAs were awesome.  Molumby wears spiked belts and t-shirts to class, laid back.  You'll HATE drosophila flies by the end of the class!"
2800,McDunnough's teaching methodology is absolutely brilliant. :e is very fair and approachable and his online notes are excellent. If you want to succeed in his courses then you need to be willing to put in 5 to 8 hours a week. 5o all of the homework problems and attend all lectures. He does an excellent job explaining the material and if you are stil
4159,"He is a rather strict professor, but as long as you pay attention and keep up, you should have no problems. I took IT Security with him, so that could explain why he is strict. He curses in class sometimes, so that was kinda funny."
3569,"Shes the best, easiest biology professor there is. Why&#63; Cause she knows how to teach. This is the first time i had bio since 9th grade. I got an A. Her exams are easy! I dont know why she has a low rating. Just attend class and read the book occasionally. All my friends wished they took Dr. Fondufe. I wish she taught upper level bio courses."
2031,"Two words: simply amazing. Dr. Goodenough is one of the nicest and funniest professors I've ever had. She totally realizes that the class's interest level is fairly low and does her best to create a clear, concise and very EASY curriculum. Attend class and you'll be fine. My only complaint is the 75 minute duration of the lecture. It can be brutal."
