id,rating,review
3253,poor,"She treats students like they're kids & is very disrespectful. If you have a question,she will just tell you to read the book. Class attendance is pointless because she basically reads the book, but every now and then she'll say something obscure that she puts on the test. Avoid at all costs. There are way better Accounting Teachers here at Mason."
2968,good,"I have graduated from UofT over a year ago, but still remember how amazing this professor is! Very inspirational and truly cares for his students! I still remember many of the things he taught me about virology!"
1138,good,"He may not use big words all the time, but he gets his point across, His exams may be hard, but he warns you a long time in advance, STUDY and go to reviews, you will be all set. Probably the best bio prof. on campus."
209,good,"Dr. Molumby was one of those professors you ether loved or hated. He was extremely caring, helpful and engaging during class. The cons were that his courses were interesting, but hard to prepare for the exams. Better then most though"
3418,good,"She's a little stress because of the class load. However, she's very very helpful if you ask for help.  She rushes sometimes because this course covers a lot of materials. She makes sure that everyone knows the material well. She's the kind of teacher who'd actually make you learned!"
1921,poor,No Comments
3310,average,"Questions from lectures, recitations, online quizzes and most importantly the chapters are all on the tests so make sure to go to recitation & lecture. I've never done so much HW & studying in my life and had to teach myself everything from the chapters.  The material isn't that difficult it just extensive and there's alot to learn. Good luck!"
4017,good,"Here is the thing about Lyons. He is a great professor. If you want to learn then take that guy. He is just rude. If you are sensitive and look for an easy A, then don't bother doing security at GMU. He runs the IT security BS. This program is very successful and all big government contractors can testify for that. Thanks to professors like Lyons,"
2401,poor,This course was hell. I was an ace in chemistry in high school and here I couldn't even compete. Tests as so hard that you can't do them without past tests. Why didn't anyone tell me that this is going to be hell&#63; I'm switching to York.
3869,good,"Full of energy and hilarious. Prof. Bauman actively engages and energizes the class throughout her lesson. Tests are not too difficult but require studying like any other test. Class attendance is not mandatory but you won't be bored if you go. Great professor and made what seemed to me a not so fun subject, much better."
948,good,"She definitely got upgraded from bologna at a young age because she goes ham! She is a beast and makes class super fun. She always smells of versace and intelligence! If you want an good class with an good teacher, takes this one. She is very helpful and really cares about what she is doing! One of the best classes ive ever taken!!!!!!!!!"
4354,good,"really great man & excellent professor. lectures can get boring, i recommend u take good notes b/c he'll tell u what parts of ch. u need to study n what parts wont be on exam. exams are pretty easy if u study. overall very interesting material/class & good professor."
532,poor,No Comments
3780,good,"Great professor! Keeps things easy and simple, although the labs are ok because they take WAY too long. Other than that, don't buy the textbook and go to class once in a while (once a month) and you'll be fine. I definitely recommend her!"
